,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
4242,0.733,4.8,1189.0,7.7,367.0,2.4,479.0,3.1,-456.0,-3.0
4243,0.866,5.5,1331.0,8.4,349.0,2.2,509.0,3.2,-465.0,-3.0
4244,0.284,10.1,107.0,3.8,38.0,1.4,144.0,5.1,177.0,6.3
4245,4.33,5.3,3581.0,4.4,1363.0,1.7,3859.0,4.7,749.0,0.9
4246,0.592,6.1,447.0,4.6,212.0,2.2,419.0,4.3,145.0,1.5
4247,24.371,5.6,23707.0,5.4,9054.0,2.1,18336.0,4.2,664.0,0.2
4248,1.335,4.8,1661.0,6.0,536.0,1.9,861.0,3.1,-326.0,-1.2
4249,0.697,5.3,892.0,6.8,308.0,2.4,459.0,3.5,-195.0,-1.5
4250,0.978,5.6,1261.0,7.3,419.0,2.4,633.0,3.6,-283.0,-1.6
4251,1.07,5.4,1105.0,5.5,362.0,1.8,616.0,3.1,-35.0,-0.2
4252,0.666,5.5,607.0,5.0,246.0,2.0,394.0,3.3,59.0,0.5
4253,0.599,4.8,964.0,7.7,300.0,2.4,454.0,3.6,-365.0,-2.9
4254,0.672,5.6,588.0,4.9,235.0,2.0,407.0,3.4,84.0,0.7
4255,6.793,6.3,5068.0,4.7,2363.0,2.2,4350.0,4.0,1725.0,1.6
4256,1.12,5.1,1688.0,7.8,465.0,2.1,680.0,3.1,-568.0,-2.6
4257,1.572,5.7,1719.0,6.3,703.0,2.6,799.0,2.9,-147.0,-0.5
4258,1.422,5.9,1201.0,5.0,555.0,2.3,920.0,3.8,221.0,0.9
4259,0.361,6.6,294.0,5.4,129.0,2.4,208.0,3.8,67.0,1.2
4260,0.739,5.0,1132.0,7.6,306.0,2.1,477.0,3.2,-393.0,-2.6
4261,0.891,5.8,1305.0,8.6,340.0,2.2,474.0,3.1,-414.0,-2.7
4262,0.282,10.3,86.0,3.2,48.0,1.8,125.0,4.6,196.0,7.2
4263,4.291,5.5,3561.0,4.5,1352.0,1.7,3212.0,4.1,730.0,0.9
4264,0.602,6.4,438.0,4.7,210.0,2.2,320.0,3.4,164.0,1.7
4265,24.09,5.7,23570.0,5.6,9010.0,2.1,15798.0,3.7,520.0,0.1
4266,1.43,5.0,1950.0,6.8,612.0,2.1,1133.0,3.9,-520.0,-1.8
4267,0.788,5.8,1011.0,7.5,314.0,2.3,640.0,4.7,-223.0,-1.7
4268,1.063,5.9,1345.0,7.5,456.0,2.5,814.0,4.5,-282.0,-1.6
4269,1.15,5.6,1097.0,5.3,417.0,2.0,779.0,3.8,53.0,0.3
4270,0.683,5.5,646.0,5.2,306.0,2.5,606.0,4.9,37.0,0.3
4271,0.707,5.5,1057.0,8.2,322.0,2.5,602.0,4.6,-350.0,-2.7
4272,0.733,6.0,701.0,5.7,261.0,2.1,551.0,4.5,32.0,0.3
4273,7.102,6.4,5105.0,4.6,2507.0,2.3,5207.0,4.7,1997.0,1.8
4274,1.239,5.5,1896.0,8.4,545.0,2.4,872.0,3.9,-657.0,-2.9
4275,1.654,5.8,1956.0,6.9,648.0,2.3,1182.0,4.2,-302.0,-1.1
4276,1.56,6.3,1330.0,5.3,575.0,2.3,1209.0,4.9,230.0,0.9
4277,0.378,6.7,345.0,6.1,156.0,2.8,272.0,4.8,33.0,0.6
4278,0.746,4.9,1299.0,8.4,395.0,2.6,621.0,4.0,-553.0,-3.6
4279,0.884,5.6,1445.0,9.2,396.0,2.5,629.0,4.0,-561.0,-3.6
4280,0.322,11.4,123.0,4.3,49.0,1.7,196.0,6.9,199.0,7.0
4281,4.513,5.6,3798.0,4.7,1527.0,1.9,4088.0,5.0,715.0,0.9
4282,0.661,6.8,465.0,4.8,206.0,2.1,443.0,4.6,196.0,2.0
4283,25.613,5.9,25569.0,5.9,9859.0,2.3,20327.0,4.7,44.0,0.0
4284,1.321,4.8,1934.0,7.0,550.0,2.0,1181.0,4.3,-613.0,-2.2
4285,0.679,5.2,999.0,7.6,283.0,2.2,666.0,5.1,-320.0,-2.4
4286,1.019,5.9,1390.0,8.0,425.0,2.5,847.0,4.9,-371.0,-2.1
4287,1.1,5.5,1193.0,6.0,406.0,2.0,836.0,4.2,-93.0,-0.5
4288,0.634,5.3,664.0,5.5,254.0,2.1,551.0,4.6,-30.0,-0.2
4289,0.66,5.3,977.0,7.8,292.0,2.3,616.0,4.9,-317.0,-2.5
4290,0.668,5.6,656.0,5.5,233.0,2.0,521.0,4.4,12.0,0.1
4291,6.607,6.1,5241.0,4.9,2373.0,2.2,5387.0,5.0,1366.0,1.3
4292,1.159,5.3,1839.0,8.4,457.0,2.1,897.0,4.1,-680.0,-3.1
4293,1.49,5.4,1907.0,6.9,639.0,2.3,1177.0,4.3,-417.0,-1.5
4294,1.417,5.9,1299.0,5.4,636.0,2.6,1126.0,4.7,118.0,0.5
4295,0.349,6.4,322.0,5.9,176.0,3.2,295.0,5.4,27.0,0.5
4296,0.724,4.9,1219.0,8.2,295.0,2.0,631.0,4.2,-495.0,-3.3
4297,0.829,5.4,1438.0,9.4,313.0,2.1,621.0,4.1,-609.0,-4.0
4298,0.31,11.2,99.0,3.6,33.0,1.2,165.0,6.0,211.0,7.6
4299,4.17,5.3,3786.0,4.8,1481.0,1.9,4150.0,5.3,384.0,0.5
4300,0.591,6.3,449.0,4.8,205.0,2.2,466.0,5.0,142.0,1.5
4301,23.727,5.6,25412.0,6.0,9199.0,2.2,20488.0,4.9,-1685.0,-0.4
4302,1.24,4.3,2013.0,7.0,592.0,2.1,1450.0,5.1,-773.0,-2.7
4303,0.656,4.9,1000.0,7.4,324.0,2.4,761.0,5.6,-344.0,-2.5
4304,0.911,5.1,1391.0,7.8,420.0,2.3,1023.0,5.7,-480.0,-2.7
4305,0.942,4.6,1213.0,5.9,342.0,1.7,1039.0,5.1,-271.0,-1.3
4306,0.599,4.8,670.0,5.4,259.0,2.1,662.0,5.3,-71.0,-0.6
4307,0.625,4.8,1077.0,8.3,321.0,2.5,744.0,5.7,-452.0,-3.5
4308,0.568,4.6,730.0,5.9,249.0,2.0,629.0,5.1,-162.0,-1.3
4309,5.861,5.3,5547.0,5.0,2408.0,2.2,6591.0,5.9,314.0,0.3
4310,0.951,4.2,2027.0,9.0,494.0,2.2,1156.0,5.1,-1076.0,-4.8
4311,1.336,4.7,2041.0,7.2,626.0,2.2,1556.0,5.5,-705.0,-2.5
4312,1.299,5.2,1364.0,5.5,571.0,2.3,1274.0,5.1,-65.0,-0.3
4313,0.361,6.4,324.0,5.7,148.0,2.6,384.0,6.8,37.0,0.7
4314,0.634,4.1,1307.0,8.5,332.0,2.2,666.0,4.3,-673.0,-4.4
4315,0.769,4.9,1509.0,9.6,318.0,2.0,726.0,4.6,-740.0,-4.7
4316,0.274,9.5,97.0,3.4,62.0,2.2,230.0,8.0,177.0,6.2
4317,3.67,4.5,3906.0,4.8,1354.0,1.7,5017.0,6.2,-236.0,-0.3
4318,0.532,5.5,506.0,5.2,196.0,2.0,581.0,6.0,26.0,0.3
4319,21.228,4.9,26722.0,6.1,9169.0,2.1,24945.0,5.7,-5494.0,-1.3
4320,1.567,5.5,2141.0,7.5,450.0,1.6,1125.0,3.9,-574.0,-2.0
4321,0.853,6.3,1093.0,8.1,288.0,2.1,586.0,4.4,-240.0,-1.8
4322,1.204,6.7,1498.0,8.4,454.0,2.5,825.0,4.6,-294.0,-1.6
